Name	Object ID	Sprite ID
BAT	83	158
D_BARREL	100	175
HAMMER	144	260
D_BARREL	150	266
KNIFE	173	306
CHINE	174	308
FLYKNIFE	175	307
PIPE	176	305
SHOTGUN	177	304
UZI	178	303
PISTOL	179	302
NAIL	180	3868
KALASHNIKOV	723	1197
M16	724	1194
MACHETE	741	1198
SILENCER	880	1458
CLUB	881	1457
MP5	882	1459
BOTTLE	910	1513
STICK	936	1567
TASER	940	1580
FAMAE	1348	2385
MENDOZA	1349	2386
SHARD	1350	2387
SKATEBORD	1351	1942
MAGNUM	1352	2388
KATANA	1368	2444
AXE	1818	3173
BIG_PIPE	2105	3284
BRUSH	2106	3627
ACID	2261	3926
B_BOTTLE	2293	3997
DRILL	2337	4149
PAN_F	2338	4151
PAN_E	2339	4150
S_UZI	2343	4157
B_KNIFE	2340	4096
AMMO_BOX	693	1151
